_H:	|epoch	sum_sum_se	
_D:	0	1.08621		
_D:	1	1.08112		
_D:	2	1.07808		
_D:	3	1.07626		
_D:	4	1.07516		
_D:	5	1.07448		
_D:	6	1.07404		
_D:	7	1.07374		
_D:	8	1.07352		
_D:	9	1.07335		
_D:	10	1.07321		
_D:	11	1.07308		
_D:	12	1.07297		
_D:	13	1.07286		
_D:	14	1.07276		
_D:	15	1.07266		
_D:	16	1.07256		
_D:	17	1.07246		
_D:	18	1.07236		
_D:	19	1.07226		
_D:	20	1.07217		
_D:	21	1.07207		
_D:	22	1.07198		
_D:	23	1.07188		
_D:	24	1.07179		
_D:	25	1.07169		
_D:	26	1.0716		
_D:	27	1.07151		
_D:	28	1.07142		
_D:	29	1.07133		
_D:	30	1.07124		
_D:	31	1.07115		
_D:	32	1.07106		
_D:	33	1.07097		
_D:	34	1.07088		
_D:	35	1.07079		
_D:	36	1.0707		
_D:	37	1.07061		
_D:	38	1.07053		
_D:	39	1.07044		
_D:	40	1.07036		
_D:	41	1.07027		
_D:	42	1.07018		
_D:	43	1.0701		
_D:	44	1.07002		
_D:	45	1.06993		
_D:	46	1.06985		
_D:	47	1.06977		
_D:	48	1.06969		
_D:	49	1.0696		
_D:	50	1.06952		
_D:	51	1.06944		
_D:	52	1.06936		
_D:	53	1.06928		
_D:	54	1.0692		
_D:	55	1.06912		
_D:	56	1.06905		
_D:	57	1.06897		
_D:	58	1.06889		
_D:	59	1.06881		
_D:	60	1.06874		
_D:	61	1.06866		
_D:	62	1.06858		
_D:	63	1.06851		
_D:	64	1.06843		
_D:	65	1.06836		
_D:	66	1.06828		
_D:	67	1.06821		
_D:	68	1.06814		
_D:	69	1.06806		
_D:	70	1.06799		
_D:	71	1.06792		
_D:	72	1.06785		
_D:	73	1.06778		
_D:	74	1.0677		
_D:	75	1.06763		
_D:	76	1.06756		
_D:	77	1.06749		
_D:	78	1.06742		
_D:	79	1.06736		
_D:	80	1.06729		
_D:	81	1.06722		
_D:	82	1.06715		
_D:	83	1.06708		
_D:	84	1.06702		
_D:	85	1.06695		
_D:	86	1.06688		
_D:	87	1.06682		
_D:	88	1.06675		
_D:	89	1.06669		
_D:	90	1.06662		
_D:	91	1.06656		
_D:	92	1.06649		
_D:	93	1.06643		
_D:	94	1.06637		
_D:	95	1.0663		
_D:	96	1.06624		
_D:	97	1.06618		
_D:	98	1.06611		
_D:	99	1.06605		
_D:	100	1.06599		
_D:	101	1.06593		
_D:	102	1.06587		
_D:	103	1.06581		
_D:	104	1.06575		
_D:	105	1.06569		
_D:	106	1.06563		
_D:	107	1.06557		
_D:	108	1.06551		
_D:	109	1.06545		
_D:	110	1.0654		
_D:	111	1.06534		
_D:	112	1.06528		
_D:	113	1.06522		
_D:	114	1.06517		
_D:	115	1.06511		
_D:	116	1.06505		
_D:	117	1.065		
_D:	118	1.06494		
_D:	119	1.06489		
_D:	120	1.06483		
_D:	121	1.06478		
_D:	122	1.06472		
_D:	123	1.06467		
_D:	124	1.06461		
_D:	125	1.06456		
_D:	126	1.06451		
_D:	127	1.06445		
_D:	128	1.0644		
_D:	129	1.06435		
_D:	130	1.0643		
_D:	131	1.06424		
_D:	132	1.06419		
_D:	133	1.06414		
_D:	134	1.06409		
_D:	135	1.06404		
_D:	136	1.06399		
_D:	137	1.06394		
_D:	138	1.06389		
_D:	139	1.06384		
_D:	140	1.06379		
_D:	141	1.06374		
_D:	142	1.06369		
_D:	143	1.06364		
_D:	144	1.06359		
_D:	145	1.06354		
_D:	146	1.0635		
_D:	147	1.06345		
_D:	148	1.0634		
_D:	149	1.06335		
_D:	150	1.06331		
_D:	151	1.06326		
_D:	152	1.06321		
_D:	153	1.06317		
_D:	154	1.06312		
_D:	155	1.06308		
_D:	156	1.06303		
_D:	157	1.06298		
_D:	158	1.06294		
_D:	159	1.06289		
_D:	160	1.06285		
_D:	161	1.06281		
_D:	162	1.06276		
_D:	163	1.06272		
_D:	164	1.06267		
_D:	165	1.06263		
_D:	166	1.06259		
_D:	167	1.06254		
_D:	168	1.0625		
_D:	169	1.06246		
_D:	170	1.06242		
_D:	171	1.06237		
_D:	172	1.06233		
_D:	173	1.06229		
_D:	174	1.06225		
_D:	175	1.06221		
_D:	176	1.06216		
_D:	177	1.06212		
_D:	178	1.06208		
_D:	179	1.06204		
_D:	180	1.062		
_D:	181	1.06196		
_D:	182	1.06192		
_D:	183	1.06188		
_D:	184	1.06184		
_D:	185	1.0618		
_D:	186	1.06176		
_D:	187	1.06172		
_D:	188	1.06168		
_D:	189	1.06164		
_D:	190	1.0616		
_D:	191	1.06157		
_D:	192	1.06153		
_D:	193	1.06149		
_D:	194	1.06145		
_D:	195	1.06141		
_D:	196	1.06138		
_D:	197	1.06134		
_D:	198	1.0613		
_D:	199	1.06126		
_D:	200	1.06123		
_D:	201	1.06119		
_D:	202	1.06115		
_D:	203	1.06112		
_D:	204	1.06108		
_D:	205	1.06104		
_D:	206	1.06101		
_D:	207	1.06097		
_D:	208	1.06093		
_D:	209	1.0609		
_D:	210	1.06086		
_D:	211	1.06083		
_D:	212	1.06079		
_D:	213	1.06076		
_D:	214	1.06072		
_D:	215	1.06069		
_D:	216	1.06065		
_D:	217	1.06062		
_D:	218	1.06058		
_D:	219	1.06055		
_D:	220	1.06051		
_D:	221	1.06048		
_D:	222	1.06044		
